rule_index,source,destination_raw,destination_decoded,status_code,permanent,query_behavior,contains_non_ascii,contains_percent_encoding,double_encoded,external,source_file
99,/รับซื้อ/รับซื้อเลนส์-ยโสธร,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
100,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
101,/รับซื้อ/รับซื้อ-storage-nas-ยโสธร,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
102,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
103,/รับซื้อ/รับซื้อ-hdd-ร้อยเอ็ด,/รับซื้อ/รับซื้อ-ssd-ร้อยเอ็ด,/รับซื้อ/รับซื้อ-ssd-ร้อยเอ็ด,308,true,none,yes,no,no,no,vercel.json
104,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94,/รับซื้อ/รับซื้อ-ssd-ร้อยเอ็ด,/รับซื้อ/รับซื้อ-ssd-ร้อยเอ็ด,308,true,none,yes,no,no,no,vercel.json
105,/รับซื้อ/รับซื้อ-gopro-ร้อยเอ็ด,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
106,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
107,/รับซื้อ/รับซื้อเลนส์-ร้อยเอ็ด,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
108,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
