url,page_type,group_id,service_slug,province,visible_main_text_words,h1,indexable,sitemap,inbound_links,trust_issue,in_audit,in_batch11
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","ยโสธร","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ยโสธร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ร้อยเอ็ด","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","ร้อยเอ็ด","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ร้อยเอ็ด ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-เลย","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","เลย","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง เลย ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ศรีสะเกษ","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","ศรีสะเกษ","237","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ศรีสะเกษ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สกลนคร","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","สกลนคร","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง สกลนคร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สุรินทร์","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","สุรินทร์","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง สุรินทร์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองคาย","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","หนองคาย","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง หนองคาย ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองบัวลำภู","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","หนองบัวลำภู","237","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง หนองบัวลำภู ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อำนาจเจริญ","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","อำนาจเจริญ","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง อำนาจเจริญ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุดรธานี","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","อุดรธานี","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง อุดรธานี ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
