rule_id,source,source_variant,existing_destination,resolved_final_target,www_destination,host,status_code_phase_a,status_code_phase_b,preserve_query,rule_order,generated_from,included,exclusion_reason
WWW-R0187,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,187,R0187,yes,
WWW-R0188,/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,188,R0188,yes,
WWW-R0189,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,189,R0189,yes,
WWW-R0190,/รับซื้อ/รับซื้อของสะสม-นครพนม,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,190,R0190,yes,
WWW-R0191,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,191,R0191,yes,
WWW-R0192,/รับซื้อ/รับซื้อของสะสม-นครราชสีมา,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,192,R0192,yes,
WWW-R0193,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,193,R0193,yes,
WWW-R0194,/รับซื้อ/รับซื้อของสะสม-บึงกาฬ,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,194,R0194,yes,
WWW-R0195,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,195,R0195,yes,
WWW-R0196,/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,196,R0196,yes,
