source_url,source_file,text_before,text_after,link_destination,anchor,semantic_change,reason,status
"/รับซื้อ/รับซื้อ-airpods-มหาสารคาม","","(no link)","รับซื้อ iPhone ในมหาสารคาม","/รับซื้อ/รับซื้อ-iphone-มหาสารคาม","รับซื้อ iPhone ในมหาสารคาม","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มุกดาหาร","","(no link)","รับซื้อ โน๊ตบุ๊ค ในมุกดาหาร","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-มุกดาหาร","รับซื้อ โน๊ตบุ๊ค ในมุกดาหาร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มุกดาหาร","","(no link)","รับซื้อ MacBook ในมุกดาหาร","/รับซื้อ/รับซื้อ-macbook-มุกดาหาร","รับซื้อ MacBook ในมุกดาหาร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มุกดาหาร","","(no link)","รับซื้อ คอมพิวเตอร์ ในมุกดาหาร","/รับซื้อ/รับซื้อคอมพิวเตอร์-มุกดาหาร","รับซื้อ คอมพิวเตอร์ ในมุกดาหาร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มุกดาหาร","","(no link)","รับซื้อ iPhone ในมุกดาหาร","/รับซื้อ/รับซื้อ-iphone-มุกดาหาร","รับซื้อ iPhone ในมุกดาหาร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ยโสธร","","(no link)","รับซื้อ โน๊ตบุ๊ค ในยโสธร","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ยโสธร","รับซื้อ โน๊ตบุ๊ค ในยโสธร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ยโสธร","","(no link)","รับซื้อ MacBook ในยโสธร","/รับซื้อ/รับซื้อ-macbook-ยโสธร","รับซื้อ MacBook ในยโสธร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ยโสธร","","(no link)","รับซื้อ คอมพิวเตอร์ ในยโสธร","/รับซื้อ/รับซื้อคอมพิวเตอร์-ยโสธร","รับซื้อ คอมพิวเตอร์ ในยโสธร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ยโสธร","","(no link)","รับซื้อ iPhone ในยโสธร","/รับซื้อ/รับซื้อ-iphone-ยโสธร","รับซื้อ iPhone ในยโสธร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ร้อยเอ็ด","","(no link)","รับซื้อ โน๊ตบุ๊ค ในร้อยเอ็ด","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็ด","รับซื้อ โน๊ตบุ๊ค ในร้อยเอ็ด","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ร้อยเอ็ด","","(no link)","รับซื้อ MacBook ในร้อยเอ็ด","/รับซื้อ/รับซื้อ-macbook-ร้อยเอ็ด","รับซื้อ MacBook ในร้อยเอ็ด","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ร้อยเอ็ด","","(no link)","รับซื้อ คอมพิวเตอร์ ในร้อยเอ็ด","/รับซื้อ/รับซื้อคอมพิวเตอร์-ร้อยเอ็ด","รับซื้อ คอมพิวเตอร์ ในร้อยเอ็ด","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ร้อยเอ็ด","","(no link)","รับซื้อ iPhone ในร้อยเอ็ด","/รับซื้อ/รับซื้อ-iphone-ร้อยเอ็ด","รับซื้อ iPhone ในร้อยเอ็ด","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
