url,source_file,page_type,indexable,canonical,sitemap,inbound_links,unique_inbound_sources,outbound_links,unique_outbound_targets,click_depth,breadcrumb_links,navigation_links,footer_links,contextual_links,related_content_links,thin_content_flag,cannibalization_cluster,priority_class,status
"/บริการ/รับซื้อ-cpu","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-cpu","yes","18","18","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-dell-alienware","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-dell-alienware","yes","15","15","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-dell-g-series","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-dell-g-series","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-dell-inspiron","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-dell-inspiron","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-dell-latitude","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-dell-latitude","yes","23","23","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-desktop-pc","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-desktop-pc","yes","9","9","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-gaming-pc","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-gaming-pc","yes","1186","1186","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-gigabyte-aorus","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-gigabyte-aorus","yes","27","27","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-gigabyte-g5-g6-g7","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-gigabyte-g5-g6-g7","yes","5","5","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-gigabyte-gaming-notebook","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-gigabyte-gaming-notebook","yes","31","31","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-gopro-action-camera","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera","yes","11","11","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-hp-elitebook","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-hp-elitebook","yes","23","23","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-hp-omen","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-hp-omen","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-hp-pavilion","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-hp-pavilion","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-hp-victus","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-hp-victus","yes","27","27","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-imac","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-imac","yes","38","38","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-imac-mac-mini","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-imac-mac-mini","yes","15","15","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-ipad","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad","yes","70","70","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-ipad-air","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad-air","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-ipad-gen","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad-gen","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
