target_url,reference_type,source_file,source_url,anchor_text,production_visible,points_to_404,expected_action
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-มุกดาหาร.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-ยโสธร.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-ร้อยเอ็ด.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-ศรีสะเกษ.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-สกลนคร.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-สุรินทร์.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-หนองคาย.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-หนองบัวลำภู.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-อำนาจเจริญ.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-อุดรธานี.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-อุบลราชธานี.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-เลย.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้อง-canon.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้อง-fujifilm.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้อง-mirrorless.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้อง-nikon.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้อง-sony.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้อง.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้องฟิล์ม.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/services/รับซื้อกล้องเสีย.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,source_mention,src/pages/บริการ/รับซื้อเลนส์.astro,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,source_mention,src/layouts/ServiceLayout.astro,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,seo_policy,src/config/seo-policy.ts,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,redirect_config,vercel.json,,,config,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-hdd,seo_policy,src/config/seo-policy.ts,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-hdd,redirect_config,vercel.json,,,config,no,ok_after_encoding_fix
